word,grade_level,difficulty,definition,sentence,part_of_speech,origin
absence,4,hard,the state of not being present,Her absence from class surprised the teacher.,noun,Latin
accidentally,4,hard,done by chance without intention,She accidentally knocked over the glass.,adverb,Latin
accommodate,5,hard,to have enough room for something or someone,The van could accommodate all eight students.,verb,Latin
address,3,medium,the location where someone lives or a speech,She wrote the address on the envelope carefully.,noun,Latin
aerial,4,hard,relating to the air or positioned in the air,The aerial photograph showed the whole school.,adjective,Latin
aisle,4,hard,a passage between rows of seats,She walked down the aisle to find her seat.,noun,French
amateur,5,hard,a person who does something for enjoyment rather than pay,Even as an amateur she performed with great skill.,noun,French
among,3,medium,in the middle of or surrounded by others,She found her pencil among the papers on her desk.,preposition,English
angel,3,medium,a divine or heavenly being,The costume had white wings like an angel.,noun,Greek
arctic,4,hard,relating to the cold region around the North Pole,The arctic fox has thick white fur in winter.,adjective,Greek
assistance,4,hard,the action of helping someone,She offered assistance to the younger students.,noun,Latin
athlete,4,medium,a person who trains and competes in sports,Every athlete on the team attended morning practice.,noun,Greek
attendance,4,medium,the act of being present at a place,Perfect attendance earned her a special ribbon.,noun,Latin
awful,3,medium,very bad or unpleasant,The rotten egg had an awful smell.,adjective,English
beautiful,3,medium,very pleasing to look at or hear,She drew a beautiful picture of the garden.,adjective,French
believe,3,medium,to feel certain that something is true,She could not believe how fast the time passed.,verb,English
biscuit,4,hard,a small baked bread that is soft inside,He spread butter on his warm biscuit.,noun,French
borrowed,3,medium,temporarily taken with permission,She borrowed a pencil and returned it after class.,verb,English
bruise,4,hard,a mark on the skin from an injury,She got a bruise on her knee after the fall.,noun,French
buoyant,5,hard,able to float in water or cheerful in mood,The buoyant balloon floated above the crowd.,adjective,French
business,4,medium,a company or someone's trade or work,Her mother ran a small business from home.,noun,English
camouflage,5,hard,colors or patterns that help hide something,The lizard used camouflage to blend into the rocks.,noun,French
caught,3,hard,past tense of catch,He caught the ball with one hand.,verb,English
ceiling,4,hard,the top inner surface of a room,The spider dangled from the ceiling.,noun,French
cemetery,5,hard,a place where people are buried,The old cemetery had tall oak trees along the path.,noun,Greek
choir,4,hard,a group of people who sing together,She joined the school choir in the fourth grade.,noun,Greek
colonel,5,hard,a high-ranking military officer,The colonel inspected the troops at sunrise.,noun,French
committee,5,hard,a group chosen to make decisions,The school committee met every Thursday morning.,noun,Latin
conscience,5,hard,the sense of knowing right from wrong,Her conscience told her to return the wallet.,noun,Latin
conscientious,5,hard,very careful and thorough about doing things correctly,She was conscientious about checking every answer.,adjective,Latin
conscious,5,hard,awake and aware of your surroundings,She was fully conscious during the entire procedure.,adjective,Latin
continuous,4,hard,going on without stopping,The continuous drizzle kept them indoors all day.,adjective,Latin
cruelty,4,hard,behavior that causes pain or suffering,The book showed that cruelty always has consequences.,noun,French
debris,5,hard,scattered pieces left after something is destroyed,Debris from the storm covered the playground.,noun,French
definite,4,hard,clearly decided and not changing,She gave a definite yes to the invitation.,adjective,Latin
