word,grade_level,difficulty,definition,sentence,part_of_speech,origin
abolish,5,hard,to officially put an end to something,The students voted to abolish the old rule.,verb,Latin
absence,4,hard,the state of being away from a place,Her absence from class was noticed by everyone.,noun,Latin
absurd,4,hard,wildly unreasonable or silly,The idea that cats could drive cars is absurd.,adjective,Latin
abundant,5,hard,more than enough of something,The garden had an abundant supply of tomatoes.,adjective,Latin
accomplish,5,hard,to succeed in doing something,She worked hard to accomplish her goal.,verb,Latin
accurate,4,hard,correct in every detail,Her drawing was an accurate copy of the original.,adjective,Latin
acknowledge,5,hard,to admit or recognize something as true,He had to acknowledge that she was right.,verb,English
adequate,5,hard,enough for what is needed,She had adequate time to finish the test.,adjective,Latin
admirable,4,hard,worthy of respect or admiration,Her courage was admirable.,adjective,Latin
adolescent,5,hard,a young person going through the teen years,The novel told the story of an adolescent discovering her passion.,noun,Latin
aggressive,4,hard,ready to attack or forcefully assertive,The aggressive dog barked at every stranger.,adjective,Latin
alliance,5,hard,a union formed between groups for a common goal,The two schools formed an alliance to share resources.,noun,French
ambition,4,hard,a strong desire to achieve something,Her ambition to become a doctor drove her studies.,noun,Latin
ancient,4,hard,belonging to the very distant past,The archaeologist discovered ancient ruins.,adjective,Latin
anticipate,5,hard,to expect or prepare for something in advance,She tried to anticipate every question on the test.,verb,Latin
apparent,4,hard,clearly visible or obvious,It was apparent that the team needed more practice.,adjective,Latin
appreciate,4,hard,to recognize the worth of something,She began to appreciate classical music.,verb,Latin
apprentice,5,hard,a person learning a trade from a skilled worker,The young apprentice worked in the bakery each morning.,noun,French
appropriate,4,hard,suitable for the situation,She chose appropriate clothing for the winter hike.,adjective,Latin
architect,4,hard,a person who designs buildings,The architect designed a beautiful library.,noun,Greek
argument,4,hard,a disagreement or a set of reasons for something,Their argument was settled before dinner.,noun,Latin
atmosphere,4,hard,the layer of gases surrounding a planet,The Earth's atmosphere protects us from the sun's radiation.,noun,Greek
authority,4,hard,the power to make decisions or give commands,The principal has authority over the whole school.,noun,Latin
available,4,hard,able to be used or obtained,The book was available at the public library.,adjective,Latin
average,4,hard,a typical or middle amount,Her test score was above the class average.,noun,French
awkward,4,hard,causing difficulty or embarrassment,He felt awkward when everyone stared at him.,adjective,English
balance,4,hard,an even distribution of weight or importance,She struggled to find balance between school and sports.,noun,Latin
bargain,4,hard,something bought for a low price or a deal,The coat at the sale was a real bargain.,noun,French
biography,5,hard,the story of a person's life written by someone else,She read a biography of Abraham Lincoln.,noun,Greek
boundary,4,hard,a line marking the edge of an area,The fence marked the boundary of the property.,noun,French
brilliant,4,hard,very clever or very bright,She gave a brilliant answer that surprised the judges.,adjective,French
calendar,4,hard,a chart showing the days and months of the year,She checked the calendar to find the test date.,noun,Latin
candidate,5,hard,a person who applies for a job or position,She was the strongest candidate for student council.,noun,Latin
capture,4,hard,to catch and hold something,He tried to capture the perfect photo of the sunset.,verb,Latin
carnivore,4,hard,an animal that eats only meat,The lion is a well-known carnivore.,noun,Latin
catastrophe,5,hard,a sudden event causing great damage or suffering,The flood was a catastrophe for the small town.,noun,Greek
category,4,hard,a group of things with shared features,The science fair had a category for plant experiments.,noun,Greek
celebrate,4,hard,to mark a special occasion with festivities,They would celebrate her birthday with a picnic.,verb,Latin
century,4,hard,a period of one hundred years,The school was built over a century ago.,noun,Latin
certificate,4,hard,an official document proving something is true,She received a certificate for perfect attendance.,noun,Latin
champion,4,hard,the winner of a competition,The spelling champion practiced every single day.,noun,French
character,4,hard,the mental and moral qualities of a person or a figure in a story,The main character in the novel was brave and kind.,noun,Greek
circumstance,5,hard,a fact or condition connected with an event,The unusual circumstance made the decision difficult.,noun,Latin
civilization,5,hard,an advanced human society with culture and laws,The students studied ancient Egyptian civilization.,noun,Latin
collaborate,5,hard,to work jointly with others,The two classes agreed to collaborate on the project.,verb,Latin
