word,grade_level,difficulty,definition,sentence,part_of_speech,origin
across,3,easy,from one side to the other,She ran across the field to reach her friend.,preposition,English
afraid,3,easy,feeling fear or worry,He was afraid of the dark but slowly got used to it.,adjective,English
again,3,easy,one more time,She read the word again to make sure she had it right.,adverb,English
along,3,easy,moving beside something,She walked along the path toward the school.,preposition,English
already,3,easy,before now or before a certain time,She had already finished the easy words by noon.,adverb,English
always,3,easy,at all times,She always reviewed her words before sleeping.,adverb,English
anger,3,easy,a strong feeling of displeasure,She tried to turn her anger into determination.,noun,English
animal,3,easy,a living creature that is not a plant,The animal in the story was a clever fox.,noun,Latin
ankle,3,easy,the joint connecting the foot to the leg,She twisted her ankle slightly on the way to school.,noun,English
answer,3,easy,a reply to a question,She knew the answer before anyone else raised their hand.,noun,English
anyone,3,easy,any person at all,Anyone who studies hard can become a great speller.,pronoun,English
around,3,easy,on all sides of something,She looked around the room before spelling the word.,preposition,English
asleep,3,easy,in a state of sleep,She fell asleep with her word list open on her pillow.,adjective,English
August,3,easy,the eighth month of the year,The spelling bee was held in August before school started.,noun,Latin
autumn,3,easy,the season between summer and winter,Leaves turn gold and red in autumn.,noun,Latin
awful,3,easy,very bad or unpleasant,Missing the final word felt awful but she recovered quickly.,adjective,English
baby,3,easy,a very young child,Even as a baby she loved the sound of new words.,noun,English
badge,3,easy,a small sign worn to show a rank or membership,She wore her spelling bee badge with pride.,noun,French
balloon,3,easy,a bag of thin rubber filled with air,A red balloon floated above the spelling bee tent.,noun,French
basket,3,easy,a container made of woven material,She kept her word cards in a wicker basket.,noun,English
beach,3,easy,the sandy or rocky shore beside water,She wrote spelling words in the sand at the beach.,noun,English
before,3,easy,earlier in time,She reviewed her list before going to bed.,preposition,English
begin,3,easy,to start something,The judge asked each contestant to begin when ready.,verb,English
below,3,easy,at a lower level,Her test score had never gone below ninety percent.,preposition,English
between,3,easy,in the middle of two things,She sat between her two best friends at the competition.,preposition,English
birthday,3,easy,the day someone was born,A spelling dictionary was her favorite birthday gift.,noun,English
borrow,3,easy,to take something temporarily with permission,She asked if she could borrow her friend's dictionary.,verb,English
bottle,3,easy,a container for liquids,She brought a bottle of water to the competition.,noun,Latin
bottom,3,easy,the lowest part of something,She wrote the hardest words at the bottom of her list.,noun,English
bread,3,easy,a baked food made from flour,She ate a slice of bread before the long study session.,noun,English
breakfast,3,easy,the first meal of the day,She had a healthy breakfast before the competition began.,noun,English
bright,3,easy,giving off a lot of light or very clever,She had a bright idea for remembering the silent letter.,adjective,English
bring,3,easy,to carry something to a place,She would bring her dictionary to every study session.,verb,English
brother,3,easy,a male sibling,Her brother helped quiz her on the word list each night.,noun,English
brown,3,easy,a color like wood or soil,She circled the hard words with a brown pen.,adjective,English
build,3,easy,to make something by putting parts together,She worked hard to build her vocabulary every week.,verb,English
butter,3,easy,a yellow food spread made from cream,She spread butter on her toast before studying.,noun,English
button,3,easy,a small fastener on clothing,She felt nervous as a popped button before stepping on stage.,noun,French
camera,3,easy,a device for taking photographs,Her parents brought a camera to capture her winning moment.,noun,Greek
camp,3,easy,a place where people stay outdoors in tents,She learned ten new words at spelling camp every day.,noun,Latin
careful,3,easy,paying attention to avoid mistakes,She was very careful when spelling words with double letters.,adjective,English
carry,3,easy,to hold and transport something,She would carry her word list wherever she went.,verb,English
castle,3,easy,a large stone building from history,She read a story set in a medieval castle.,noun,Latin
catch,3,easy,to grab something in motion,She used memory tricks to catch tricky letter patterns.,verb,English
center,3,easy,the middle point of something,She stood in the center of the stage feeling calm.,noun,Greek
chair,3,easy,a piece of furniture for sitting,She pulled a chair up to the desk and began to study.,noun,French
change,3,easy,to become different,She noticed her spelling would change from week to week as she improved.,verb,French
chapter,3,easy,a section of a book,She read one chapter of her word history book each evening.,noun,Latin
chicken,3,easy,a common farm bird,The chicken in the story had an unusually long name.,noun,English
circle,3,easy,a perfectly round flat shape,She drew a circle around every word she had mastered.,noun,Latin
city,3,easy,a large area where many people live,She traveled to the city for the regional spelling bee.,noun,Latin
clean,3,easy,free from dirt,She kept a clean copy of her word list pinned to the wall.,adjective,English
clear,3,easy,easy to understand or see,Her explanation of the spelling rule was very clear.,adjective,French
climb,3,easy,to go up something using hands and feet,She felt she was climbing toward her goal every week.,verb,English
clock,3,easy,a device that shows the time,She checked the clock to make sure she had enough study time.,noun,English
cloud,3,easy,a white or gray mass of water vapor,A cloud of doubt disappeared once she had studied hard.,noun,English
color,3,easy,how something appears based on the light it reflects,She used a different color to highlight each spelling pattern.,noun,Latin
cookie,3,easy,a small sweet baked treat,She celebrated with a cookie after every perfect practice round.,noun,Dutch
corner,3,easy,the point where two edges meet,She sat in the quiet corner of the library to study.,noun,Latin
count,3,easy,to find the total number of things,She would count out syllables on her fingers.,verb,French
country,3,easy,a nation with its own government,She hoped to one day compete at the country level.,noun,French
couple,3,easy,two things together,She reviewed a couple of tricky words before bed.,noun,French
cousin,3,easy,the child of an aunt or uncle,Her cousin was also an enthusiastic speller.,noun,French
cover,3,easy,to place something over another thing,She used a piece of card to cover the spelling and test herself.,verb,French
crayon,3,easy,a stick of colored wax for drawing,She used a red crayon to mark every word she found hard.,noun,French
dance,3,easy,to move rhythmically to music,She would dance around the room while reciting tricky words.,verb,French
danger,3,easy,something that could cause harm,She knew the danger of rushing through unfamiliar words.,noun,French
dentist,3,easy,a doctor who treats teeth,She kept her dentist appointment even on a busy study week.,noun,Greek
